Incident ID,Incident Date,State,County,Address
652584,11-09-2016,Missouri,Jackson,500 block of Westport Rd
749361,12-01-2017,Missouri,Jackson,8607 E 61st Terrace
1180161,04-08-2018,Missouri,Jackson,E 18th St and Highland Ave
1546102,10-11-2019,Missouri,Jackson,4704 Independence Ave
1509721,22-09-2019,Missouri,Jackson,2111 Television Plaza
1482199,18-08-2019,Missouri,Jackson,770 W 47th St
1367011,09-04-2019,Missouri,Jackson,5339 Michigan Ave
1787286,06-09-2020,Missouri,Jackson,3999 Swope Pkwy
1698306,06-06-2020,Missouri,Jackson,E 18th St and Vine St
1631040,29-02-2020,Missouri,Jackson,510 Westport Rd
1600787,19-01-2020,Missouri,Jackson,4802 Noland Rd
2053786,04-07-2021,Missouri,Jackson,E 43rd St and Indiana Ave
1986770,25-04-2021,Missouri,Jackson,E 18th St and Vine St
2407734,05-09-2022,Missouri,Jackson,7320 Manchester Ave
2356327,10-07-2022,Missouri,Jackson,4128 Broadway Blvd
2348750,04-07-2022,Missouri,Jackson,E 13th St and Grand Blvd
2572471,14-04-2023,Missouri,Jackson,3500 Prospect Ave
426559,25-09-2015,Illinois,Vermilion,1300 block of May Street
940068,23-09-2017,Illinois,Vermilion,Seminary St and Jackson St
1582816,29-12-2019,Illinois,Vermilion,1803 block of Westview Ave
2119101,18-09-2021,Illinois,Vermilion,3164 E Main St
2052689,04-07-2021,Illinois,Vermilion,12 S College St
419250,23-09-2015,Louisiana,Caddo,2900 block of Peach Street
412996,12-09-2015,Louisiana,Caddo,1500 block of Clanton Street
369014,05-07-2015,Louisiana,Caddo,3500 block of Hearne Ave
689518,31-10-2016,Louisiana,Caddo,700 Block of W 68th St
553803,05-05-2016,Louisiana,Caddo,300 block of North Thomas Drive
530049,27-03-2016,Louisiana,Caddo,Hearne Ave and Hollywood Ave
763313,29-01-2017,Louisiana,Caddo,6363 Hearne Ave
1126712,27-05-2018,Louisiana,Caddo,857 E Stoner Ave
1092279,15-04-2018,Louisiana,Caddo,6956 Jewella Ave
1422981,15-06-2019,Louisiana,Caddo,2500 block of Hollywood Ave
1365100,07-04-2019,Louisiana,Caddo,433 Flournoy Lucas Rd
1343330,10-03-2019,Louisiana,Caddo,2700 block of San Jacinto Ave
1852831,15-11-2020,Louisiana,Caddo,300 block of Douglas St
1736383,15-07-2020,Louisiana,Caddo,6725 Buncombe Rd
1610782,31-01-2020,Louisiana,Caddo,2000 Grimmett Dr
1981353,18-04-2021,Louisiana,Caddo,3701 Hearne Ave
1941444,28-02-2021,Louisiana,Caddo,4914 Mansfield Rd
1893601,03-01-2021,Louisiana,Caddo,6900 block of Jewella Ave
2269034,02-04-2022,Louisiana,Caddo,2025 Marshall St
2553829,25-03-2023,Louisiana,Caddo,200 block of Texas St
