Incident ID,Incident Date,State,State Code,County,City,City Or County,Address,# Killed,# Injured
168786,03-08-2014,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5200 block of Thekla ,0,5
165089,27-07-2014,Missouri,MO,St. Louis,Saint Louis,Saint Louis,2000 block of East John Avenue,0,5
155412,06-07-2014,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4600 block of Natural Bridge Avenue,0,4
153648,29-06-2014,Missouri,MO,St. Louis,Saint Louis,Saint Louis,2800 block of Dayton,0,4
389149,04-08-2015,Missouri,MO,St. Louis,Saint Louis,Saint Louis,2500 block of Semple,1,4
382230,22-07-2015,Missouri,MO,St. Louis,Saint Louis,Saint Louis,Fair Ave and Ashland Ave,0,6
374292,14-07-2015,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1100 block of Riverview,0,4
357611,14-06-2015,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1400 block of North Market Street,0,4
355267,09-06-2015,Missouri,MO,St. Louis,Saint Louis,Saint Louis,North Market Street and North Spring Avenue,1,3
346179,24-05-2015,Missouri,MO,St. Louis,Saint Louis,Saint Louis,2700 block of Dayton,0,4
491864,07-03-2015,Missouri,MO,St. Louis,Saint Louis,Saint Louis,3140 Olive St,0,4
640689,28-08-2016,Missouri,MO,St. Louis,Saint Louis,Saint Louis,S Grand Blvd and Montana St,2,2
617712,30-07-2016,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5000 block of Kensington Ave,0,5
602765,13-07-2016,Missouri,MO,St. Louis,Saint Louis,Saint Louis,3000 block of Miami St,2,2
920513,24-08-2017,Missouri,MO,St. Louis,Saint Louis,Saint Louis,10400 block of Balmoral Dr,4,0
912093,12-08-2017,Missouri,MO,St. Louis,Saint Louis,Saint Louis,12310 Bellefontaine Rd,1,3
875886,25-06-2017,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5000 block of Thekla Ave,1,3
870095,18-06-2017,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1900 block of N 14th St,3,2
858810,03-06-2017,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1600 Block of Union Blvd,2,2
857443,01-06-2017,Missouri,MO,St. Louis,Saint Louis,Saint Louis,Beacon Ave and Lillian Ave,3,1
802240,24-03-2017,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5100 block of Palm St,1,6
1260525,21-11-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4200 block of Shreve Ave,0,4
1232018,13-10-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,400 block of Midlothian Road,0,4
1194057,22-08-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,I-64 and Jefferson Ave,0,4
1184992,10-08-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1515 N 13th St,0,4
1155567,03-07-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1700 block of Billups Ave,1,5
1113737,11-05-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4800 block of Farlin Ave,0,4
1111950,09-05-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5200 block of Minerva Avenue,0,4
1100852,25-04-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1151 Northdale Dr,3,1
1040815,31-01-2018,Missouri,MO,St. Louis,Saint Louis,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,0,4
1520547,05-10-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,10035 Crown Point Dr,0,5
1517804,01-10-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,0,4
1504030,14-09-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5200 block of Tennessee Ave,1,3
1486675,23-08-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1122 Union Blvd,1,3
1472641,07-08-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4900 block of Plover Ave,3,1
1441613,07-07-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,N Tucker Blvd and Convention Plaza,0,5
1441721,06-07-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1921 Chambers Rd,5,0
1407941,27-05-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5900 block of Goodfellow Blvd,2,2
1394330,13-05-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4047 Shreve Ave,4,1
1392313,10-05-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4000 block of Ashland Ave,0,6
1386510,04-05-2019,Missouri,MO,St. Louis,Saint Louis,Saint Louis,Union Blvd and Northland Ave,1,4
1806368,26-09-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4700 block of Vernon Ave,0,5
1786890,06-09-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5700 block of Minerva Ave,1,3
1754640,04-08-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5300 block of Bircher Blvd,1,3
1749746,29-07-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5500 block of Floy Ave,3,2
1704116,13-06-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,3103 N Grand Blvd,2,4
1694735,01-06-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1915 Olive St,0,4
1687219,24-05-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,Union Boulevard and Cote Brilliante Ave,0,4
1676121,09-05-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,3500 block of Arkansas Ave,0,4
1642826,20-03-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,1923 Prairie Ave,0,4
1585894,01-01-2020,Missouri,MO,St. Louis,Saint Louis,Saint Louis,3000 block of S Jefferson Ave,3,2
2143113,17-10-2021,Missouri,MO,St. Louis,Saint Louis,Saint Louis,8600 block of Goodfellow Blvd,1,3
2121031,20-09-2021,Missouri,MO,St. Louis,Saint Louis,Saint Louis,2000 block of St Charles St,1,3
2111895,08-09-2021,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4000 block of St Ferdinand Ave,0,4
2041726,21-06-2021,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4002 Sullivan Ave,3,4
2026802,06-06-2021,Missouri,MO,St. Louis,Saint Louis,Saint Louis,100 N 7th St,0,4
2021398,31-05-2021,Missouri,MO,St. Louis,Saint Louis,Saint Louis,8800 block of N Broadway,0,4
2019384,29-05-2021,Missouri,MO,St. Louis,Saint Louis,Saint Louis,10466 W Florissant Ave,1,3
2443879,24-10-2022,Missouri,MO,St. Louis,Saint Louis,Saint Louis,3125 S Kingshighway Blvd,3,4
2407739,05-09-2022,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4400 block of Red Bud Ave,1,3
2385846,12-08-2022,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5166 Dr Martin Luther King Dr,1,3
2299793,11-05-2022,Missouri,MO,St. Louis,Saint Louis,Saint Louis,5000 block of N Kingshighway Blvd,1,3
2222557,29-01-2022,Missouri,MO,St. Louis,Saint Louis,Saint Louis,4900 block of Cote Brilliante,3,1
2528774,18-02-2023,Missouri,MO,St. Louis,Saint Louis,Saint Louis,410 N Tucker Blvd,0,4
267792,23-12-2014,Kentucky,KY,Clark,Winchester,Winchester,260 Oxford Dr,1,3
268282,22-12-2014,Michigan,MI,Wayne,Detroit,Detroit,Charlevoix and Philip,1,3
206303,16-10-2014,Michigan,MI,Wayne,Detroit,Detroit,Mogul Street,1,3
201052,05-10-2014,Michigan,MI,Wayne,Detroit,Detroit,East 7 Mile Road and Sherwood Street,1,5
189562,11-09-2014,Michigan,MI,Wayne,Detroit,Detroit,14000 block of Patton,1,7
181947,27-08-2014,Michigan,MI,Wayne,Detroit,Detroit,16600 block of Edmore,1,3
157018,26-06-2014,Michigan,MI,Wayne,Detroit,Detroit,Grand St,2,2
138567,24-05-2014,Michigan,MI,Wayne,Detroit,Detroit,Strathmoor St,0,4
96185,13-01-2014,Michigan,MI,Wayne,Detroit,Detroit,800 block of Calvert St,0,4
391219,09-08-2015,Michigan,MI,Wayne,Detroit,Detroit,15200 block of Hazelridge,1,3
374965,15-07-2015,Michigan,MI,Wayne,Detroit,Detroit,9200 block of Memorial,0,4
365391,28-06-2015,Michigan,MI,Wayne,Detroit,Detroit,Gratiot and Loretto,0,5
364789,27-06-2015,Michigan,MI,Wayne,Detroit,Detroit,Stringham Court,0,4
361212,20-06-2015,Michigan,MI,Wayne,Detroit,Detroit,Dexter and Webb,1,11
336622,07-05-2015,Michigan,MI,Wayne,Detroit,Detroit,16000 block of Cathedral Street,0,4
299344,01-03-2015,Michigan,MI,Wayne,Detroit,Detroit,9855 Chalmers St,1,5
605367,17-07-2016,Michigan,MI,Wayne,Detroit,Detroit,Grand River and McGraw avenue,0,4
555873,06-05-2016,Michigan,MI,Wayne,Detroit,Detroit,12300 block of Gratiot,1,4
542259,16-04-2016,Michigan,MI,Wayne,Detroit,Detroit,9500 block of Oakland,1,4
520767,11-03-2016,Michigan,MI,Wayne,Detroit,Detroit,2600 block of Hazelwood,2,2
513549,28-02-2016,Michigan,MI,Wayne,Detroit,Detroit,8800 block of Livernois,0,5
999969,02-12-2017,Michigan,MI,Wayne,Detroit,Detroit,5200 Woodward Avenue,0,4
998843,30-11-2017,Michigan,MI,Wayne,Detroit,Detroit,11000 block of Gunston,1,4
936028,17-09-2017,Michigan,MI,Wayne,Detroit,Detroit,5000 block of Stanton Street,1,3
803460,25-03-2017,Michigan,MI,Wayne,Detroit,Detroit,8443 Grand River Ave,1,3
797125,18-03-2017,Michigan,MI,Wayne,Detroit,Detroit,16000 block of Rutherford,3,2
