Incident ID,Incident Date,# Injured
1720761,30-06-2020,4
1718966,27-06-2020,2
1714504,23-06-2020,4
1712408,22-06-2020,5
1712386,22-06-2020,4
1711487,21-06-2020,3
1708432,17-06-2020,4
1706710,15-06-2020,4
1698987,07-06-2020,3
1699667,07-06-2020,6
1695645,02-06-2020,4
1688917,26-05-2020,2
1686685,23-05-2020,3
1671078,03-05-2020,5
1654341,07-04-2020,3
1635411,07-03-2020,7
1629042,25-02-2020,4
1621821,14-02-2020,6
1598447,16-01-2020,5
2168989,17-11-2021,4
2148282,22-10-2021,5
2137179,10-10-2021,4
2134657,07-10-2021,4
2128682,29-09-2021,5
2127374,28-09-2021,3
2126450,27-09-2021,3
2125790,26-09-2021,6
2119609,19-09-2021,5
2113623,11-09-2021,3
2113841,11-09-2021,4
2107476,04-09-2021,5
2102694,28-08-2021,4
2098246,23-08-2021,4
2097075,22-08-2021,4
2096687,21-08-2021,4
2097063,21-08-2021,5
2095116,19-08-2021,4
2091489,15-08-2021,4
2085388,08-08-2021,6
2085401,08-08-2021,4
2085071,07-08-2021,4
2078897,31-07-2021,3
2073472,25-07-2021,5
2070329,21-07-2021,5
2070645,21-07-2021,8
2070310,21-07-2021,3
2068061,19-07-2021,4
2066189,17-07-2021,6
2065118,16-07-2021,4
2062097,14-07-2021,5
2062359,14-07-2021,5
2053048,05-07-2021,4
2052346,03-07-2021,4
2050593,01-07-2021,7
2049419,30-06-2021,4
2046714,27-06-2021,5
2046897,27-06-2021,10
2045579,26-06-2021,3
2045564,25-06-2021,4
2043898,23-06-2021,4
2043715,23-06-2021,4
2036121,15-06-2021,5
2035452,15-06-2021,3
2032203,12-06-2021,9
2030708,10-06-2021,4
2026112,06-06-2021,8
2020535,30-05-2021,4
2015849,26-05-2021,3
2012971,23-05-2021,4
2004666,15-05-2021,3
1996236,05-05-2021,4
1993280,02-05-2021,5
1978652,15-04-2021,4
1970378,05-04-2021,7
1964085,28-03-2021,4
1963052,27-03-2021,4
1961753,26-03-2021,7
1952662,14-03-2021,4
1952281,14-03-2021,13
2482288,16-12-2022,2
2478664,11-12-2022,1
2468325,26-11-2022,2
2453865,06-11-2022,3
2453892,06-11-2022,5
2452501,03-11-2022,4
2449653,31-10-2022,13
2443849,24-10-2022,3
2443194,23-10-2022,2
2421430,22-09-2022,4
2414080,13-09-2022,7
2406651,04-09-2022,2
2396803,24-08-2022,4
2392698,20-08-2022,5
2392494,19-08-2022,4
2391779,19-08-2022,4
2390519,17-08-2022,4
2386871,14-08-2022,4
2368018,23-07-2022,4
2367176,23-07-2022,4
2359843,14-07-2022,4
2355438,10-07-2022,4
2353847,07-07-2022,4
2352444,06-07-2022,4
2348204,04-07-2022,5
2346422,01-07-2022,4
2345410,01-07-2022,3
2338902,23-06-2022,3
2333667,17-06-2022,5
2327645,11-06-2022,4
2324475,07-06-2022,4
2324496,07-06-2022,4
2315892,29-05-2022,4
2315074,29-05-2022,5
2307044,19-05-2022,7
2299660,11-05-2022,4
2298836,10-05-2022,4
2299407,10-05-2022,6
2288928,27-04-2022,4
2285772,23-04-2022,2
2259413,21-03-2022,2
2256398,17-03-2022,4
2252873,13-03-2022,7
2209840,12-01-2022,4
2549452,18-03-2023,4
2529381,19-02-2023,3
2509362,23-01-2023,3
