Incident ID,Incident Date,City,City Or County
2259413,21-03-2022,Chicago,Chicago
2256398,17-03-2022,Chicago,Chicago
2252873,13-03-2022,Chicago,Chicago
2209840,12-01-2022,Chicago,Chicago
2549452,18-03-2023,Chicago,Chicago
2529381,19-02-2023,Chicago,Chicago
2509362,23-01-2023,Chicago,Chicago
2492601,01-01-2023,Chicago,Chicago
266570,21-12-2014,Sarasota,Sarasota
268910,21-12-2014,Waynesboro,Waynesboro
1577046,20-12-2019,Waynesboro,Waynesboro
266424,21-12-2014,Calumet City,Calumet City
433146,19-10-2015,Calumet City,Calumet City
266407,20-12-2014,Rockford,Rockford
124131,09-04-2014,Rockford,Rockford
382459,27-07-2015,Rockford,Rockford
278927,13-01-2015,Rockford,Rockford
676686,15-10-2016,Rockford,Rockford
1062466,04-03-2018,Rockford,Rockford
1440765,04-07-2019,Rockford,Rockford
1886974,26-12-2020,Rockford,Rockford
1772764,22-08-2020,Rockford,Rockford
1767747,18-08-2020,Rockford,Rockford
1679086,13-05-2020,Rockford,Rockford
1639413,13-03-2020,Rockford,Rockford
2133962,05-10-2021,Rockford,Rockford
2367157,23-07-2022,Rockford,Rockford
2503058,15-01-2023,Rockford,Rockford
264901,16-12-2014,Elizabeth,Elizabeth
1167806,20-07-2018,Elizabeth,Elizabeth
263556,15-12-2014,Lansdale,Lansdale
263376,14-12-2014,Miami,Miami
221577,15-11-2014,Miami,Miami
197384,28-09-2014,Miami,Miami
156125,06-07-2014,Miami,Miami
150299,24-06-2014,Miami,Miami
104721,07-02-2014,Miami,Miami
468787,19-12-2015,Miami,Miami
342589,18-05-2015,Miami,Miami
274867,06-01-2015,Miami,Miami
659289,17-09-2016,Miami,Miami
652175,10-09-2016,Miami,Miami
640203,27-08-2016,Miami,Miami
617789,31-07-2016,Miami,Miami
554027,05-05-2016,Miami,Miami
547827,25-04-2016,Miami,Miami
1015336,26-12-2017,Miami,Miami
952220,03-10-2017,Miami,Miami
